ts,platform,ms_played,conn_country,ip_addr,master_metadata_track_name,master_metadata_album_artist_name,master_metadata_album_album_name,spotify_track_uri,episode_name,episode_show_name,spotify_episode_uri,audiobook_title,audiobook_uri,audiobook_chapter_uri,audiobook_chapter_title,reason_start,reason_end,shuffle,skipped,offline,offline_timestamp,incognito_mode
2022-10-02T01:45:50Z,web_player osx 10.15.7;chrome 105.0.0.0;desktop,1346920,US,73.12.59.234,,,,,Emotional Justice,Ratchet & Respectable,spotify:episode:5KSUHfcZI2UdeS79v9wb2i,,,,,remote,logout,False,False,False,,False
2022-12-27T07:36:21Z,not_applicable,281973,US,73.12.59.234,Stiletto,Billy Joel,52nd Street,spotify:track:2BG0KgG8XPPijzrfOmGpzd,,,,,,,,remote,trackdone,True,False,False,,False
2022-12-27T07:41:05Z,not_applicable,284000,US,73.12.59.234,My Life,Billy Joel,52nd Street,spotify:track:4ZoBC5MhSEzuknIgAkBaoT,,,,,,,,trackdone,trackdone,True,False,False,,False
2022-12-27T07:41:12Z,not_applicable,2540,US,73.12.59.234,Allentown,Billy Joel,The Nylon Curtain,spotify:track:59xhCcRskqyMtKzdvLZDfV,,,,,,,,trackdone,fwdbtn,True,True,False,,False
2022-12-27T07:51:58Z,not_applicable,40232,US,73.12.59.234,Send in the Clowns,Judy Collins,Judith,spotify:track:3evTbfCtMxbUwTQIn7QOcG,,,,,,,,fwdbtn,logout,True,False,False,,False
2023-01-03T21:28:39Z,not_applicable,9658,US,73.12.59.234,"Stronger Than Me - Later With Jools Holland, London / 2003",Amy Winehouse,Frank,spotify:track:2Ed07HGaDuZGrDYAFG1BdC,,,,,,,,remote,endplay,True,True,False,,False
2023-01-03T21:43:50Z,not_applicable,6042,US,73.12.59.234,Fullness,Elevation Worship,Speak Revival,spotify:track:5UqyM8fDp1hAAvcb83TS7B,,,,,,,,playbtn,remote,True,False,False,,False
2023-02-09T04:42:46Z,not_applicable,5521,US,73.12.59.234,,,,,Two Thousand Years,Billy Joel A to Z,spotify:episode:3yjmj5KS1zKDSmcoQyhGnJ,,,,,remote,logout,False,False,False,,False
2023-02-09T16:02:08Z,not_applicable,1795026,US,73.12.59.234,,,,,You Know What I'm Talking About | Chad Veach,Zoe Church LA,spotify:episode:0hr0FlGD61axPoObEQASDN,,,,,remote,trackdone,False,False,False,,False
2023-04-01T23:31:02Z,not_applicable,19865,US,73.12.59.234,To Make You Feel My Love,Billy Joel,Songs From the Heart,spotify:track:6KaNr5y4GAlHGp2dQiZNPs,,,,,,,,remote,logout,True,False,False,,False
